time,value
0,552.0
3,543.0
6,528.0
9,630.0
12,609.0
15,648.0
18,642.0
21,645.0
24,627.0
27,603.0
30,540.0
33,573.0
36,606.0
39,711.0
42,708.0
45,708.0
48,711.0
51,705.0
54,582.0
57,573.0
60,603.0
63,717.0
66,735.0
69,732.0
72,714.0
75,705.0
78,705.0
81,573.0
84,534.0
93,732.0
96,750.0
99,744.0
102,747.0
105,756.0
108,720.0
111,531.0
114,570.0
123,774.0
126,780.0
129,765.0
132,774.0
135,801.0
138,738.0
141,630.0
144,540.0
147,576.0
156,816.0
162,792.0
165,795.0
177,546.0
180,585.0
192,798.0
195,807.0
198,807.0
201,816.0
204,831.0
207,798.0
210,783.0
219,612.0
222,846.0
225,843.0
228,831.0
231,828.0
234,843.0
237,855.0
240,843.0
243,834.0
246,804.0
249,696.0
258,606.0
261,612.0
264,609.0
267,606.0
270,606.0
279,609.0
282,663.0
285,657.0
288,660.0
291,672.0
294,666.0
297,630.0
306,666.0
309,723.0
312,717.0
315,714.0
318,720.0
321,720.0
330,606.0
333,738.0
336,738.0
339,735.0
342,744.0
345,744.0
348,744.0
351,639.0
360,666.0
363,756.0
366,756.0
369,774.0
372,771.0
375,768.0
378,765.0
381,588.0
384,588.0
387,612.0
390,795.0
393,783.0
396,786.0
399,795.0
402,795.0
405,792.0
408,789.0
411,666.0
414,597.0
417,585.0
420,609.0
423,834.0
426,813.0
429,813.0
432,792.0
435,798.0
438,792.0
441,765.0
444,744.0
447,627.0
450,567.0
453,636.0
456,786.0
459,795.0
462,804.0
465,813.0
468,807.0
471,804.0
474,807.0
477,837.0
480,744.0
483,564.0
486,567.0
489,645.0
492,900.0
495,813.0
498,837.0
501,843.0
504,837.0
507,870.0
510,831.0
513,801.0
516,810.0
519,696.0
522,561.0
525,636.0
528,588.0
531,588.0
534,585.0
537,666.0
540,594.0
543,573.0
546,567.0
549,642.0
552,645.0
555,645.0
558,651.0
561,654.0
564,645.0
567,687.0
570,567.0
573,633.0
576,600.0
579,717.0
582,720.0
585,714.0
588,720.0
591,717.0
594,558.0
597,645.0
600,636.0
603,723.0
606,714.0
609,729.0
612,720.0
615,723.0
618,708.0
621,660.0
624,579.0
627,684.0
630,729.0
633,762.0
636,759.0
639,750.0
642,750.0
645,747.0
648,720.0
651,540.0
654,573.0
657,612.0
660,777.0
663,777.0
666,774.0
669,753.0
672,762.0
675,783.0
678,762.0
681,585.0
684,540.0
687,594.0
690,732.0
693,798.0
696,765.0
699,780.0
702,783.0
705,777.0
708,786.0
711,771.0
714,714.0
717,543.0
720,588.0
723,612.0
726,855.0
729,795.0
732,798.0
735,798.0
738,828.0
741,837.0
744,816.0
747,759.0
750,594.0
753,546.0
756,594.0
759,708.0
762,816.0
765,828.0
768,837.0
771,843.0
774,843.0
777,843.0
780,825.0
783,810.0
786,747.0
789,537.0
792,582.0
801,573.0
804,576.0
807,573.0
810,555.0
813,585.0
819,606.0
828,642.0
834,582.0
849,714.0
855,714.0
861,582.0
867,594.0
870,759.0
873,759.0
882,759.0
885,684.0
900,783.0
903,789.0
906,792.0
909,789.0
912,738.0
921,663.0
924,792.0
927,804.0
930,804.0
933,807.0
936,810.0
939,810.0
942,678.0
951,684.0
954,837.0
957,837.0
960,843.0
963,840.0
966,840.0
969,843.0
972,612.0
975,585.0
978,603.0
981,864.0
984,876.0
987,876.0
990,873.0
993,882.0
996,879.0
999,870.0
1008,615.0
1011,876.0
1014,906.0
1017,909.0
1020,906.0
1023,909.0
1026,912.0
1029,915.0
1032,675.0
1041,606.0
1044,612.0
1047,618.0
1050,612.0
1053,615.0
1056,615.0
1059,597.0
1062,600.0
1065,609.0
1068,654.0
1071,663.0
1074,660.0
1077,663.0
1080,654.0
1083,591.0
1092,696.0
1095,717.0
1098,717.0
1101,720.0
1104,714.0
1107,687.0
1110,558.0
1113,630.0
1116,702.0
1119,753.0
1122,753.0
1125,756.0
1128,756.0
1131,756.0
1134,666.0
1137,654.0
1140,627.0
1143,588.0
1146,759.0
1149,771.0
1152,759.0
1155,771.0
1158,777.0
1161,780.0
1164,567.0
1167,663.0
1170,630.0
1173,774.0
1176,765.0
1179,777.0
1182,759.0
1185,774.0
1188,792.0
1191,780.0
1194,654.0
1197,624.0
1200,600.0
1203,633.0
1206,840.0
1209,846.0
1212,843.0
1215,834.0
1218,840.0
1221,840.0
1224,816.0
1227,642.0
1230,630.0
1233,585.0
1236,870.0
1239,879.0
1242,873.0
1245,879.0
1248,879.0
1251,876.0
1254,846.0
1257,651.0
1260,642.0
1263,591.0
1266,903.0
1269,921.0
1272,915.0
1275,915.0
1278,915.0
1281,897.0
1284,897.0
1287,711.0
1290,564.0
1293,645.0
1296,594.0
1299,603.0
1302,573.0
1305,582.0
